customerID,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_bucket,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_probability,risk_tier,revenue_at_risk
5248-YGIJN,Male,0,Yes,No,72,49+,Two year,DSL,Credit card (automatic),90.25,6369.45,No,0.0157,Low,17.0
8773-HHUOZ,Female,0,No,Yes,17,13-24,Month-to-month,DSL,Mailed check,64.7,1093.1,Yes,0.354,Medium,274.85
3841-NFECX,Female,1,Yes,No,71,49+,Two year,Fiber optic,Credit card (automatic),96.35,6766.95,No,0.0278,Low,32.14
4929-XIHVW,Male,1,Yes,No,2,0-12,Month-to-month,Fiber optic,Credit card (automatic),95.5,181.65,No,0.7286,High,834.98
6827-IEAUQ,Female,0,Yes,Yes,27,25-48,One year,DSL,Mailed check,66.15,1874.45,No,0.0297,Low,23.58
7310-EGVHZ,Male,0,No,No,1,0-12,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0.1807,Low,43.8
3413-BMNZE,Male,1,No,No,1,0-12,Month-to-month,DSL,Bank transfer (automatic),45.25,45.25,No,0.3663,Medium,198.9
6234-RAAPL,Female,0,Yes,Yes,72,49+,Two year,Fiber optic,Bank transfer (automatic),99.9,7251.7,No,0.0199,Low,23.86
6047-YHPVI,Male,0,No,No,5,0-12,Month-to-month,Fiber optic,Electronic check,69.7,316.9,Yes,0.6767,High,565.99
6572-ADKRS,Female,0,No,No,46,25-48,Month-to-month,Fiber optic,Credit card (automatic),74.8,3548.3,No,0.254,Low,227.99
5380-WJKOV,Male,0,No,No,34,25-48,Month-to-month,Fiber optic,Electronic check,106.35,3549.25,Yes,0.6148,High,784.61
8168-UQWWF,Female,0,No,No,11,0-12,Month-to-month,Fiber optic,Bank transfer (automatic),97.85,1105.4,Yes,0.7217,High,847.42
8865-TNMNX,Male,0,Yes,Yes,10,0-12,One year,DSL,Mailed check,49.55,475.7,No,0.1156,Low,68.74
9489-DEDVP,Female,0,Yes,Yes,70,49+,Two year,DSL,Credit card (automatic),69.2,4872.35,No,0.0121,Low,10.05
9867-JCZSP,Female,0,Yes,Yes,17,13-24,One year,No,Mailed check,20.75,418.25,No,0.0432,Low,10.76
4671-VJLCL,Female,0,No,No,63,49+,Two year,DSL,Credit card (automatic),79.85,4861.45,No,0.0137,Low,13.13
4080-IIARD,Female,0,Yes,No,13,13-24,Month-to-month,DSL,Electronic check,76.2,981.45,No,0.3036,Medium,277.61
3714-NTNFO,Female,0,No,No,49,49+,Month-to-month,Fiber optic,Electronic check,84.5,3906.7,No,0.4563,Medium,462.69
5948-UJZLF,Male,0,No,No,2,0-12,Month-to-month,DSL,Mailed check,49.25,97.0,No,0.3098,Medium,183.09
7760-OYPDY,Female,0,No,No,2,0-12,Month-to-month,Fiber optic,Electronic check,80.65,144.15,Yes,0.7353,High,711.62
7639-LIAYI,Male,0,No,No,52,49+,Two year,DSL,Credit card (automatic),79.75,4217.8,No,0.0321,Low,30.72
2954-PIBKO,Female,0,Yes,Yes,69,49+,Two year,DSL,Credit card (automatic),64.15,4254.1,No,0.0071,Low,5.47
8012-SOUDQ,Female,1,No,No,43,25-48,Month-to-month,Fiber optic,Electronic check,90.25,3838.75,No,0.5136,High,556.23
9420-LOJKX,Female,0,No,No,15,13-24,Month-to-month,Fiber optic,Credit card (automatic),99.1,1426.4,Yes,0.4768,Medium,567.01
6575-SUVOI,Female,1,Yes,No,25,25-48,Month-to-month,DSL,Credit card (automatic),69.5,1752.65,No,0.2138,Low,178.31
7495-OOKFY,Female,1,Yes,No,8,0-12,Month-to-month,Fiber optic,Credit card (automatic),80.65,633.3,Yes,0.6142,High,594.42
4667-QONEA,Female,1,Yes,Yes,60,49+,One year,DSL,Credit card (automatic),74.85,4456.35,No,0.0199,Low,17.87
1658-BYGOY,Male,1,No,No,18,13-24,Month-to-month,Fiber optic,Electronic check,95.45,1752.55,Yes,0.7786,High,891.81
8769-KKTPH,Female,0,Yes,Yes,63,49+,One year,Fiber optic,Credit card (automatic),99.65,6311.2,No,0.1337,Low,159.88
5067-XJQFU,Male,1,Yes,Yes,66,49+,One year,Fiber optic,Electronic check,108.45,7076.35,No,0.1984,Low,258.2
3957-SQXML,Female,0,Yes,Yes,34,25-48,Two year,No,Credit card (automatic),24.95,894.3,No,0.0132,Low,3.95
5954-BDFSG,Female,0,No,No,72,49+,Two year,Fiber optic,Credit card (automatic),107.5,7853.7,No,0.0749,Low,96.62
0434-CSFON,Female,0,Yes,No,47,25-48,Month-to-month,Fiber optic,Electronic check,100.5,4707.1,No,0.5691,High,686.33
1215-FIGMP,Male,0,No,No,60,49+,Month-to-month,Fiber optic,Bank transfer (automatic),89.9,5450.7,No,0.2826,Low,304.87
0526-SXDJP,Male,0,Yes,No,72,49+,Two year,DSL,Bank transfer (automatic),42.1,2962.0,No,0.0061,Low,3.08
0557-ASKVU,Female,0,Yes,Yes,18,13-24,One year,DSL,Credit card (automatic),54.4,957.1,No,0.0893,Low,58.3
5698-BQJOH,Female,0,No,No,9,0-12,Month-to-month,Fiber optic,Electronic check,94.4,857.25,Yes,0.732,High,829.21
5122-CYFXA,Female,0,No,No,3,0-12,Month-to-month,DSL,Electronic check,75.3,244.1,No,0.4688,Medium,423.61
8627-ZYGSZ,Male,0,Yes,No,47,25-48,One year,Fiber optic,Electronic check,78.9,3650.35,No,0.2363,Low,223.73
3410-YOQBQ,Female,0,No,No,31,25-48,Two year,DSL,Mailed check,79.2,2497.2,No,0.0438,Low,41.63
3170-NMYVV,Female,0,Yes,Yes,50,49+,Two year,No,Bank transfer (automatic),20.15,930.9,No,0.0046,Low,1.11
7410-OIEDU,Male,0,No,No,10,0-12,Month-to-month,Fiber optic,Mailed check,79.85,887.35,No,0.4596,Medium,440.39
2273-QCKXA,Male,0,No,No,1,0-12,Month-to-month,DSL,Mailed check,49.05,49.05,No,0.2787,Low,164.04
0731-EBJQB,Female,0,Yes,Yes,52,49+,One year,No,Electronic check,20.4,1090.65,No,0.0176,Low,4.31
1891-QRQSA,Male,1,Yes,Yes,64,49+,Two year,Fiber optic,Bank transfer (automatic),111.6,7099.0,No,0.0638,Low,85.44
8028-PNXHQ,Male,0,Yes,Yes,62,49+,Two year,No,Bank transfer (automatic),24.25,1424.6,No,0.0057,Low,1.66
5630-AHZIL,Female,0,No,Yes,3,0-12,Month-to-month,DSL,Bank transfer (automatic),64.5,177.4,No,0.2323,Low,179.8
2673-CXQEU,Female,1,No,No,56,49+,One year,Fiber optic,Electronic check,110.5,6139.5,No,0.1967,Low,260.82
6416-JNVRK,Female,0,No,No,46,25-48,One year,DSL,Credit card (automatic),55.65,2688.85,No,0.0518,Low,34.59
5590-ZSKRV,Female,0,Yes,Yes,8,0-12,Month-to-month,DSL,Mailed check,54.65,482.25,No,0.157,Low,102.96
0191-ZHSKZ,Male,1,No,No,30,25-48,Month-to-month,DSL,Electronic check,74.75,2111.3,No,0.2825,Low,253.4
3887-PBQAO,Female,0,Yes,Yes,45,25-48,One year,No,Credit card (automatic),25.9,1216.6,No,0.0222,Low,6.9
5919-TMRGD,Female,0,No,Yes,1,0-12,Month-to-month,Fiber optic,Electronic check,79.35,79.35,Yes,0.7049,High,671.21
8108-UXRQN,Female,0,Yes,Yes,11,0-12,Month-to-month,DSL,Electronic check,50.55,565.35,No,0.4142,Medium,251.25
9191-MYQKX,Female,0,Yes,No,7,0-12,Month-to-month,Fiber optic,Bank transfer (automatic),75.15,496.9,Yes,0.5597,High,504.74
9919-YLNNG,Female,0,No,No,42,25-48,Month-to-month,Fiber optic,Bank transfer (automatic),103.8,4327.5,No,0.3218,Medium,400.83
0318-ZOPWS,Female,0,Yes,No,49,49+,Two year,No,Bank transfer (automatic),20.15,973.35,No,0.0089,Low,2.15
4445-ZJNMU,Male,0,No,No,9,0-12,Month-to-month,Fiber optic,Credit card (automatic),99.3,918.75,No,0.6944,High,827.45
4808-YNLEU,Female,0,Yes,No,35,25-48,One year,DSL,Bank transfer (automatic),62.15,2215.45,No,0.0753,Low,56.16
1862-QRWPE,Female,0,Yes,Yes,48,25-48,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0.0052,Low,1.29
2796-NNUFI,Female,0,Yes,Yes,46,25-48,Two year,No,Mailed check,19.95,927.1,No,0.0089,Low,2.13
3016-KSVCP,Male,0,Yes,No,29,25-48,Month-to-month,DSL,Mailed check,33.75,1009.25,No,0.2785,Low,112.79
4767-HZZHQ,Male,0,Yes,Yes,30,25-48,Month-to-month,Fiber optic,Bank transfer (automatic),82.05,2570.2,No,0.2209,Low,217.5
2424-WVHPL,Male,1,No,No,1,0-12,Month-to-month,Fiber optic,Electronic check,74.7,74.7,No,0.5708,High,511.67
7233-PAHHL,Male,0,Yes,Yes,66,49+,Two year,DSL,Mailed check,84.0,5714.25,No,0.0201,Low,20.26
6067-NGCEU,Female,0,No,No,65,49+,Month-to-month,Fiber optic,Credit card (automatic),111.05,7107.0,No,0.2417,Low,322.09
9848-JQJTX,Male,0,No,No,72,49+,Two year,Fiber optic,Bank transfer (automatic),100.9,7459.05,No,0.1042,Low,126.17
8637-XJIVR,Female,0,No,No,12,0-12,Month-to-month,Fiber optic,Electronic check,78.95,927.35,Yes,0.5949,High,563.61
9803-FTJCG,Male,0,Yes,Yes,71,49+,One year,DSL,Credit card (automatic),66.85,4748.7,No,0.0114,Low,9.15
0278-YXOOG,Male,0,No,No,5,0-12,Month-to-month,No,Mailed check,21.05,113.85,Yes,0.1623,Low,41.0
3212-KXOCR,Male,0,No,No,52,49+,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0.0053,Low,1.34
4598-XLKNJ,Female,1,Yes,No,25,25-48,Month-to-month,Fiber optic,Electronic check,98.5,2514.5,Yes,0.6531,High,771.96
6380-ARCEH,Male,0,No,No,1,0-12,Month-to-month,No,Mailed check,20.2,20.2,No,0.1923,Low,46.61
3679-XASPY,Female,0,Yes,Yes,1,0-12,Month-to-month,No,Electronic check,19.45,19.45,No,0.2088,Low,48.73
7123-WQUHX,Male,0,No,No,38,25-48,One year,Fiber optic,Bank transfer (automatic),95.0,3605.6,No,0.1745,Low,198.93
5386-THSLQ,Female,1,Yes,No,66,49+,One year,DSL,Bank transfer (automatic),45.55,3027.25,No,0.0359,Low,19.62
3192-NQECA,Male,0,Yes,No,68,49+,Two year,Fiber optic,Bank transfer (automatic),110.0,7611.85,Yes,0.0837,Low,110.48
6180-YBIQI,Male,0,No,No,5,0-12,Month-to-month,DSL,Mailed check,24.3,100.2,No,0.4478,Medium,130.58
6728-DKUCO,Female,0,Yes,Yes,72,49+,One year,Fiber optic,Electronic check,104.15,7303.05,No,0.1364,Low,170.47
9750-BOOHV,Female,0,No,No,32,25-48,One year,DSL,Mailed check,30.15,927.65,No,0.0718,Low,25.98
8597-CWYHH,Male,0,No,No,43,25-48,One year,Fiber optic,Mailed check,94.35,3921.3,No,0.2687,Low,304.22
2848-YXSMW,Male,0,Yes,Yes,72,49+,Two year,No,Credit card (automatic),19.4,1363.25,No,0.0017,Low,0.4
0486-HECZI,Male,0,Yes,No,55,49+,Month-to-month,Fiber optic,Electronic check,96.75,5238.9,Yes,0.309,Medium,358.75
4549-ZDQYY,Female,0,No,No,52,49+,One year,DSL,Credit card (automatic),57.95,3042.25,No,0.0162,Low,11.27
5712-AHQNN,Female,0,No,No,43,25-48,Month-to-month,Fiber optic,Electronic check,91.65,3954.1,No,0.3937,Medium,432.99
4846-WHAFZ,Female,1,Yes,No,37,25-48,Month-to-month,Fiber optic,Electronic check,76.5,2868.15,Yes,0.5192,High,476.63
5256-SKJGO,Female,0,Yes,Yes,64,49+,Two year,DSL,Electronic check,54.6,3423.5,No,0.0302,Low,19.79
3071-VBYPO,Male,0,Yes,Yes,3,0-12,Month-to-month,Fiber optic,Electronic check,89.85,248.4,No,0.4658,Medium,502.23
9560-BBZXK,Female,0,No,No,36,25-48,Two year,DSL,Bank transfer (automatic),31.05,1126.35,No,0.0297,Low,11.07
5299-RULOA,Female,0,Yes,Yes,10,0-12,Month-to-month,Fiber optic,Electronic check,100.25,1064.65,Yes,0.6716,High,807.93
8402-OOOHJ,Female,0,No,No,41,25-48,Two year,No,Mailed check,20.65,835.15,No,0.0093,Low,2.3
9445-ZUEQE,Male,0,Yes,Yes,27,25-48,Month-to-month,Fiber optic,Credit card (automatic),85.2,2151.6,No,0.2981,Low,304.78
1091-SOZGA,Female,0,Yes,Yes,56,49+,One year,Fiber optic,Credit card (automatic),99.8,5515.45,No,0.2115,Low,253.29
2928-HLDBA,Female,0,No,No,6,0-12,Month-to-month,No,Mailed check,20.7,112.75,No,0.154,Low,38.25
0404-SWRVG,Male,0,No,No,3,0-12,Month-to-month,Fiber optic,Electronic check,74.4,229.55,Yes,0.7528,High,672.1
6497-TILVL,Female,0,Yes,Yes,7,0-12,Month-to-month,DSL,Mailed check,50.7,350.35,No,0.1803,Low,109.69
7219-TLZHO,Female,0,Yes,Yes,4,0-12,Month-to-month,No,Mailed check,20.85,62.9,No,0.1391,Low,34.8
4622-YNKIJ,Male,0,No,No,33,25-48,Two year,Fiber optic,Electronic check,88.95,3027.65,No,0.1208,Low,128.94
4412-YLTKF,Female,1,No,No,27,25-48,Month-to-month,Fiber optic,Electronic check,78.05,2135.5,Yes,0.6123,High,573.48
6734-PSBAW,Male,0,Yes,No,72,49+,Two year,No,Bank transfer (automatic),23.55,1723.95,No,0.0047,Low,1.33
3930-ZGWVE,Male,0,No,No,1,0-12,Month-to-month,No,Mailed check,19.75,19.75,No,0.1945,Low,46.1
2639-UGMAZ,Male,1,No,No,71,49+,One year,DSL,Electronic check,56.45,3985.35,No,0.0594,Low,40.24
2876-GZYZC,Female,0,No,No,13,13-24,Month-to-month,Fiber optic,Electronic check,85.95,1215.65,No,0.7281,High,750.96
6207-WIOLX,Female,0,Yes,Yes,25,25-48,Month-to-month,DSL,Credit card (automatic),58.6,1502.65,Yes,0.2603,Low,183.04
8587-XYZSF,Male,0,No,No,67,49+,Two year,DSL,Bank transfer (automatic),50.55,3260.1,No,0.0064,Low,3.88
3091-FYHKI,Male,0,No,No,1,0-12,Month-to-month,DSL,Electronic check,35.45,35.45,Yes,0.6986,High,297.18
2372-HWUHI,Male,0,No,No,2,0-12,Month-to-month,DSL,Electronic check,44.35,81.25,Yes,0.42,Medium,223.52
7799-LGRDP,Female,0,No,No,43,25-48,Two year,No,Credit card (automatic),25.7,1188.2,No,0.0155,Low,4.78
7850-VWJUU,Female,0,No,No,23,13-24,Month-to-month,Fiber optic,Bank transfer (automatic),75.0,1778.5,No,0.3368,Medium,303.12
3774-VBNXY,Female,0,Yes,Yes,64,49+,Two year,No,Mailed check,20.2,1277.75,No,0.0027,Low,0.65
6217-KDYWC,Male,0,No,Yes,57,49+,Two year,No,Mailed check,19.6,1170.55,No,0.0055,Low,1.29
0390-DCFDQ,Female,1,Yes,No,1,0-12,Month-to-month,Fiber optic,Mailed check,70.45,70.45,Yes,0.6678,High,564.56
3146-MSEGF,Female,1,Yes,Yes,72,49+,Two year,DSL,Credit card (automatic),88.05,6425.65,No,0.0153,Low,16.17
4080-OGPJL,Female,0,No,No,8,0-12,Month-to-month,DSL,Electronic check,71.15,563.65,Yes,0.292,Low,249.31
1095-WGNGG,Female,0,Yes,No,61,49+,Two year,Fiber optic,Bank transfer (automatic),101.05,5971.25,No,0.114,Low,138.24
2636-SJDOU,Male,0,No,No,64,49+,One year,Fiber optic,Credit card (automatic),84.3,5289.05,No,0.0735,Low,74.35
1131-QQZEB,Male,1,Yes,No,71,49+,Two year,No,Bank transfer (automatic),23.95,1756.2,No,0.004,Low,1.15
5716-EZXZN,Female,0,Yes,Yes,65,49+,Two year,Fiber optic,Credit card (automatic),99.05,6416.7,No,0.0333,Low,39.58
6837-BJYDQ,Male,0,No,No,3,0-12,One year,No,Mailed check,19.6,61.35,No,0.0987,Low,23.21
2135-RXIHG,Male,0,No,No,1,0-12,Month-to-month,DSL,Electronic check,45.65,45.65,Yes,0.5125,High,280.75
6440-DKQGE,Male,0,No,Yes,30,25-48,One year,DSL,Credit card (automatic),64.5,1929.95,No,0.0653,Low,50.54
3466-BYAVD,Male,0,Yes,Yes,15,13-24,Month-to-month,DSL,Mailed check,69.5,1071.4,No,0.2192,Low,182.81
3780-YVMFA,Female,0,Yes,Yes,8,0-12,Month-to-month,DSL,Electronic check,68.55,564.35,No,0.431,Medium,354.54
3874-EQOEP,Male,0,No,No,7,0-12,Month-to-month,Fiber optic,Mailed check,95.0,655.5,Yes,0.6807,High,776.0
1679-JRFBR,Female,0,Yes,Yes,70,49+,One year,Fiber optic,Credit card (automatic),108.15,7930.55,No,0.1162,Low,150.8
9073-ZZIAY,Male,0,Yes,Yes,62,49+,Two year,DSL,Electronic check,86.1,5215.25,No,0.0123,Low,12.71
3077-RSNTJ,Female,0,Yes,Yes,6,0-12,Month-to-month,No,Mailed check,19.7,113.5,No,0.1327,Low,31.37
6551-GNYDG,Female,0,Yes,Yes,14,13-24,Month-to-month,Fiber optic,Bank transfer (automatic),80.9,1152.8,No,0.5123,High,497.34
9167-APMXZ,Female,0,No,No,22,13-24,Month-to-month,Fiber optic,Bank transfer (automatic),84.15,1821.95,No,0.5843,High,590.03
2749-CTKAJ,Male,0,Yes,Yes,22,13-24,One year,No,Mailed check,20.15,419.9,No,0.0353,Low,8.54
6371-NZYEG,Male,0,Yes,Yes,16,13-24,Two year,DSL,Mailed check,64.25,1024.0,No,0.0502,Low,38.7
7554-NEWDD,Male,0,No,No,10,0-12,Two year,No,Bank transfer (automatic),25.7,251.6,No,0.0468,Low,14.43
8992-VONJD,Female,0,No,Yes,13,13-24,Month-to-month,DSL,Electronic check,56.0,764.55,No,0.2219,Low,149.12
0867-MKZVY,Female,0,Yes,No,20,13-24,Month-to-month,Fiber optic,Electronic check,82.4,1592.35,Yes,0.4201,Medium,415.39
4482-EWFMI,Female,0,No,No,2,0-12,Month-to-month,Fiber optic,Electronic check,69.7,135.2,No,0.6956,High,581.8
4648-YPBTM,Male,0,No,No,53,49+,Two year,DSL,Bank transfer (automatic),73.9,3958.25,No,0.0301,Low,26.69
2907-ILJBN,Female,0,Yes,Yes,11,0-12,One year,No,Mailed check,20.6,233.9,No,0.0556,Low,13.74
6345-FZOQH,Male,0,Yes,No,69,49+,Two year,No,Mailed check,19.9,1363.45,No,0.0027,Low,0.64
3376-BMGFE,Female,0,No,No,4,0-12,Month-to-month,Fiber optic,Bank transfer (automatic),70.9,273.0,Yes,0.5834,High,496.36
5997-OPVFA,Male,0,Yes,No,72,49+,Two year,DSL,Bank transfer (automatic),89.05,6254.45,No,0.0164,Low,17.53
3445-HXXGF,Male,1,Yes,No,58,49+,Month-to-month,DSL,Electronic check,45.3,2651.2,Yes,0.1844,Low,100.24
1159-WFSGR,Female,0,Yes,Yes,16,13-24,Month-to-month,No,Electronic check,20.4,321.4,No,0.1142,Low,27.96
7654-YWJUF,Male,0,Yes,No,43,25-48,One year,Fiber optic,Bank transfer (automatic),84.25,3539.25,No,0.088,Low,88.97
1875-QIVME,Female,0,Yes,No,2,0-12,Month-to-month,Fiber optic,Electronic check,104.4,242.8,Yes,0.7677,High,961.77
6727-IOTLZ,Male,0,Yes,No,14,13-24,Two year,DSL,Mailed check,81.95,1181.75,No,0.0715,Low,70.31
0691-JVSYA,Female,0,Yes,No,53,49+,One year,Fiber optic,Bank transfer (automatic),94.85,5000.2,Yes,0.2126,Low,241.98
5918-VUKWP,Female,0,No,No,32,25-48,One year,No,Bank transfer (automatic),20.55,654.55,No,0.025,Low,6.17
1744-JHKYS,Female,0,Yes,No,34,25-48,Month-to-month,No,Electronic check,24.7,780.2,No,0.0896,Low,26.56
2656-FMOKZ,Female,1,No,No,15,13-24,Month-to-month,Fiber optic,Mailed check,74.45,1145.7,Yes,0.6294,High,562.31
2070-FNEXE,Female,1,No,No,7,0-12,Month-to-month,Fiber optic,Bank transfer (automatic),76.45,503.6,Yes,0.3939,Medium,361.36
5947-SGKCL,Female,0,Yes,Yes,15,13-24,Month-to-month,Fiber optic,Bank transfer (automatic),105.35,1559.25,No,0.5975,High,755.36
3712-PKXZA,Male,0,Yes,No,61,49+,One year,No,Credit card (automatic),20.55,1252.0,No,0.0099,Low,2.44
6317-YPKDH,Female,0,No,No,1,0-12,Month-to-month,DSL,Bank transfer (automatic),29.95,29.95,Yes,0.4205,Medium,151.13
6582-OIVSP,Female,0,No,No,1,0-12,Month-to-month,DSL,Mailed check,45.3,45.3,No,0.3456,Medium,187.87
9367-WXLCH,Male,0,No,No,8,0-12,Month-to-month,Fiber optic,Bank transfer (automatic),84.5,662.65,Yes,0.6046,High,613.06
5524-KHNJP,Male,0,Yes,Yes,33,25-48,One year,DSL,Credit card (automatic),74.75,2453.3,No,0.0626,Low,56.15
1918-ZBFQJ,Female,0,No,No,13,13-24,Month-to-month,Fiber optic,Electronic check,79.25,1111.65,Yes,0.5715,High,543.5
1024-GUALD,Female,0,Yes,No,1,0-12,Month-to-month,DSL,Electronic check,24.8,24.8,Yes,0.6538,High,194.57
4827-USJHP,Male,0,No,No,20,13-24,Month-to-month,DSL,Mailed check,51.8,1023.85,No,0.2305,Low,143.28
8167-GJLRN,Male,0,No,No,3,0-12,Month-to-month,DSL,Electronic check,30.4,82.15,No,0.4468,Medium,162.99
0956-SYCWG,Female,0,No,No,13,13-24,One year,No,Electronic check,19.65,244.8,No,0.0839,Low,19.78
8017-UVSZU,Female,0,Yes,No,40,25-48,Month-to-month,DSL,Credit card (automatic),56.6,2379.1,No,0.1096,Low,74.44
7100-FQPRV,Male,0,Yes,Yes,43,25-48,One year,DSL,Credit card (automatic),71.9,3173.35,No,0.0469,Low,40.47
2472-OVKUP,Male,0,Yes,No,6,0-12,Month-to-month,Fiber optic,Electronic check,91.0,531.0,Yes,0.673,High,734.92
2984-RGEYA,Female,0,Yes,Yes,69,49+,Two year,No,Bank transfer (automatic),19.75,1375.4,No,0.002,Low,0.47
9680-NIAUV,Female,0,Yes,Yes,72,49+,Two year,Fiber optic,Credit card (automatic),109.7,8129.3,No,0.0403,Low,53.05
2146-EGVDT,Male,0,Yes,Yes,59,49+,Two year,No,Credit card (automatic),19.3,1192.7,No,0.0032,Low,0.74
2604-IJPDU,Female,0,Yes,No,20,13-24,Month-to-month,Fiber optic,Electronic check,96.55,1901.65,No,0.3845,Medium,445.48
9178-JHUVJ,Male,0,Yes,Yes,24,13-24,Two year,No,Bank transfer (automatic),24.1,587.4,No,0.0314,Low,9.08
6168-YBYNP,Male,0,No,No,59,49+,Month-to-month,Fiber optic,Electronic check,111.35,6519.75,No,0.379,Medium,506.42
7255-SSFBC,Male,0,Yes,Yes,72,49+,Two year,Fiber optic,Bank transfer (automatic),112.25,8041.65,No,0.0577,Low,77.72
3645-DEYGF,Male,0,No,Yes,1,0-12,Month-to-month,No,Mailed check,20.75,20.75,No,0.1574,Low,39.19
9323-HGFWY,Female,0,Yes,No,27,25-48,One year,Fiber optic,Credit card (automatic),101.9,2681.15,No,0.2016,Low,246.52
8544-GOQSH,Female,0,No,No,14,13-24,Month-to-month,Fiber optic,Credit card (automatic),80.05,1112.3,No,0.3695,Medium,354.94
3363-DTIVD,Male,0,Yes,Yes,71,49+,Two year,Fiber optic,Electronic check,105.55,7405.5,No,0.0633,Low,80.18
7018-WBJNK,Male,0,No,Yes,13,13-24,Month-to-month,Fiber optic,Credit card (automatic),78.3,1033.95,No,0.5302,High,498.18
9142-KZXOP,Male,0,No,No,44,25-48,Month-to-month,Fiber optic,Credit card (automatic),68.85,2958.95,No,0.1998,Low,165.07
7674-YTAFD,Female,0,No,No,33,25-48,One year,Fiber optic,Bank transfer (automatic),79.95,2684.85,No,0.1413,Low,135.56
6348-SNFUS,Male,0,Yes,Yes,72,49+,Two year,DSL,Credit card (automatic),55.45,4179.2,No,0.0081,Low,5.39
